PREFIX-ID,ID,DATE+#,DATE,"a,b,etc.",DATE TAKEN,SEASON,SEASON2,SEASONCAT,SEX,SITE,AGE,LIVE WEIGHT,LIVE.BM.KG,BM.LB,BM.KG,POINTS.L,POINTS.R,SPREAD.IN,SPREAD.MM,BASAL.CIR.L.IN,BASAL.CIR.L.MM,BASAL.CIR.R.IN,BASAL.CIR.R.MM ,BEAM.L.IN,BASAL.T.MM,BEAM.L.MM,BEAM.R.IN,BEAM.R.MM,BEAM.T.MM,LACTATION,NOTES,rain_lag_0,rain_lag_1,rain_lag_2,rain_lag_3,rain_lag_4,rain_lag_5
FB,FB39389,,39389,,11/3/2007,2007-2008,7,AC,F,BOWIE,5.5,102,46.2585034,72,32.65306122,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390a,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,2.5,78,35.37414966,60,27.21088435,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390b,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,3.5,90,40.81632653,60,27.21088435,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390c,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,6.5,78,35.37414966,60,27.21088435,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390d,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,7.5,85,38.54875283,64,29.02494331,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390e,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,,42,19.04761905,34,15.41950113,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390f,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,,44,19.95464853,34,15.41950113,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390g,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,,45,20.40816327,35,15.87301587,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390h,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,,42,19.04761905,39,17.68707483,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390i,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,,52,23.58276644,40,18.14058957,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390j,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,,82,37.18820862,55,24.94331066,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390k,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,,84,38.0952381,63,28.57142857,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39390l,,39390,,11/4/2007,2007-2008,7,AC,F,BOWIE,,97,43.99092971,74,33.5600907,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39393,,39393,,11/7/2007,2007-2008,7,AC,F,BOWIE,2.5,85,38.54875283,61,27.66439909,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39395a,,39395,,11/9/2007,2007-2008,7,AC,F,BOWIE,2.5,96,43.53741497,78,35.37414966,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39395b,,39395,,11/9/2007,2007-2008,7,AC,F,BOWIE,7.5,80,36.28117914,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39402a,,39402,,11/16/2007,2007-2008,7,AC,F,BOWIE,0.5,50,22.67573696,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39402b,,39402,,11/16/2007,2007-2008,7,AC,F,BOWIE,6.5,70,31.74603175,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39402c,,39402,,11/16/2007,2007-2008,7,AC,F,BOWIE,7.5,85,38.54875283,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39403a,,39403,,11/17/2007,2007-2008,7,AC,F,BOWIE,0.5,37,16.78004535,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39403b,,39403,,11/17/2007,2007-2008,7,AC,F,BOWIE,8.5,87,39.45578231,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39405a,,39405,,11/19/2007,2007-2008,7,AC,F,BOWIE,4.5,75,34.01360544,60,27.21088435,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39405b,,39405,,11/19/2007,2007-2008,7,AC,F,BOWIE,,78,35.37414966,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39406,,39406,,11/20/2007,2007-2008,7,AC,F,BOWIE,5.5,70,31.74603175,54,24.48979592,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39407a,,39407,,11/21/2007,2007-2008,7,AC,F,BOWIE,0.5,32,14.51247166,30,13.60544218,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39407b,,39407,,11/21/2007,2007-2008,7,AC,F,BOWIE,5.5,85,38.54875283,60,27.21088435,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39407c,,39407,,11/21/2007,2007-2008,7,AC,F,BOWIE,,30,13.60544218,28,12.6984127,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39407d,,39407,,11/21/2007,2007-2008,7,AC,F,BOWIE,,67,30.38548753,55,24.94331066,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39407e,,39407,,11/21/2007,2007-2008,7,AC,F,BOWIE,,87,39.45578231,58,26.30385488,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39407f,,39407,,11/21/2007,2007-2008,7,AC,F,BOWIE,,82,37.18820862,61,27.66439909,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39410a,,39410,,11/24/2007,2007-2008,7,AC,F,BOWIE,2.5,87,39.45578231,62,28.11791383,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39410b,,39410,,11/24/2007,2007-2008,7,AC,F,BOWIE,6.5,97,43.99092971,72,32.65306122,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39412,,39412,,11/26/2007,2007-2008,7,AC,F,BOWIE,,52,23.58276644,38,17.23356009,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39419,,39419,,12/3/2007,2007-2008,7,AC,F,BOWIE,3.5,89,40.36281179,72,32.65306122,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39420a,,39420,,12/4/2007,2007-2008,7,AC,F,BOWIE,3.5,86,39.00226757,56,25.3968254,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39420b,,39420,,12/4/2007,2007-2008,7,AC,F,BOWIE,7.5,109,49.43310658,86,39.00226757,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39421,,39421,,12/5/2007,2007-2008,7,AC,F,BOWIE,4.5,75,34.01360544,55,24.94331066,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39424,,39424,,12/8/2007,2007-2008,7,AC,F,BOWIE,3.5,98,44.44444444,63,28.57142857,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39428,,39428,,12/12/2007,2007-2008,7,AC,F,BOWIE,,42,19.04761905,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39430,,39430,,12/14/2007,2007-2008,7,AC,F,BOWIE,,54,24.48979592,38,17.23356009,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431a,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,0.5,45,20.40816327,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431b,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,0.5,55,24.94331066,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431c,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,0.5,51,23.1292517,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431d,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,2.5,79,35.8276644,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431e,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,2.5,87,39.45578231,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431f,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,3.5,86,39.00226757,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431g,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,4.5,82,37.18820862,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431h,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,4.5,85,38.54875283,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431i,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,4.5,99,44.89795918,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431j,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,5.5,75,34.01360544,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39431k,,39431,,12/15/2007,2007-2008,7,AC,F,BOWIE,5.5,107,48.5260771,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39432a,,39432,,12/16/2007,2007-2008,7,AC,F,BOWIE,0.5,45,20.40816327,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39432b,,39432,,12/16/2007,2007-2008,7,AC,F,BOWIE,1.5,74,33.5600907,57,25.85034014,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39432c,,39432,,12/16/2007,2007-2008,7,AC,F,BOWIE,3.5,106,48.07256236,85,38.54875283,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39432d,,39432,,12/16/2007,2007-2008,7,AC,F,BOWIE,3.5,94,42.63038549,,,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39432e,,39432,,12/16/2007,2007-2008,7,AC,F,BOWIE,5.5,90,40.81632653,74,33.5600907,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39433,,39433,,12/17/2007,2007-2008,7,AC,F,BOWIE,2.5,73,33.10657596,52,23.58276644,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39434a,,39434,,12/18/2007,2007-2008,7,AC,F,BOWIE,0.5,37,16.78004535,32,14.51247166,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
FB,FB39434b,,39434,,12/18/2007,2007-2008,7,AC,F,BOWIE,0.5,44,19.95464853,37,16.78004535,,,,,,,,,,,,,,,,,42.21,24.7,30.53,39.47,30.05,24.985
